,coal_c,elec_g,elec_c,hydro_g,nuclear_g,gas_g,oil_c,oil_g,country_Australia,country_Austria,country_Bangladesh,country_Belgium,country_Bulgaria,country_Canada,country_Denmark,country_Egypt,country_Finland,country_France,country_Germany,country_Greece,country_Hungary,country_Iceland,country_Indonesia,country_Ireland,country_Italy,country_Luxembourg,country_Netherlands,country_Norway,country_Poland,country_Portugal,country_Switzerland,country_UK,country_USA,country_Venezuela,country_infrequent_sklearn
1006,-0.648658247492799,-0.6812088491748205,-0.8798420757903893,-0.33870838791939156,-0.4034042857537125,-0.2697248427555625,-0.9925749375208283,-0.25129545366178885,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2203,-0.4578977563545568,-0.5856165563246504,-0.8109163735596094,-0.32372469663696724,-0.3906564385819135,-0.2700912029112777,-0.9343223582838887,-0.24933017279719039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
758,-0.6450661636943731,-0.6812088491748205,-0.82118959442757,-0.3377880844241179,-0.4034042857537125,-0.1068411175246035,-0.8047943876248287,-0.08823190204804483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2571,0.49590469933665343,2.746684831589136,2.3294550499112265,2.445612318062624,1.8598004657613298,0.8947875482006371,1.1731327318986566,0.029806639045486295,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720,-0.33162313818464084,-0.6812088491748205,2.709944711687544,5.036841846942535,-0.4034042857537125,0.7824371004479889,0.6760253850449666,0.04015022254337304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1397,-0.645801743994392,-0.6679743524382628,-0.876569864699113,-0.3391110206985738,-0.4034042857537125,-0.2658170010946008,-0.9917347560895261,-0.25129545366178885,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,-0.6463289098760724,-0.6812088491748205,-0.8580970916198728,-0.3302530995565648,-0.4034042857537125,-0.27512254904976585,-0.8776101116710029,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2759,-0.6489524796128064,2.7643543866446203,2.3675040160888585,-0.34118170356293953,-0.4034042857537125,0.6212386319333195,3.987740526760395,2.9065397436342244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1574,0.3022018869983356,-0.04687182268293373,-0.2388501670789161,-0.2885518474269769,-0.4034042857537125,-0.27512254904976585,0.10190140698859212,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
689,-0.6491486343594782,-0.6812088491748205,-0.6231447254729967,-0.34118170356293953,-0.4034042857537125,-0.27512254904976585,-0.11514546276442754,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
